word1	word2	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
choose	pick	6	6	6	5	6	6	5	6	6	6
seize	control	3	1	1	2	3	4	3	4	6	0
disprove	deny	3	4	0	2	3	2	3	3	4	1
call	talk	3	4	2	2	3	4	3	4	5	0
vomit	discover	0	0	0	0	0	0	0	0	0	0
crunch	crack	5	5	1	0	0	4	3	3	1	0
renounce	say	0	1	0	2	1	4	1	1	5	0
look	review	2	4	3	4	2	4	4	3	6	5
find	disappear	1	0	0	0	1	0	0	0	1	0
gather	collect	6	6	6	5	5	6	6	6	6	6
glow	burn	5	4	3	1	1	3	2	0	4	3
awake	snore	2	0	0	0	0	0	1	0	1	0
broil	fry	2	3	3	4	0	2	4	0	2	0
discover	pay	0	0	0	0	0	1	0	0	2	0
hate	adore	1	0	0	0	0	0	0	0	2	0
advise	teach	3	4	1	5	2	5	4	4	5	5
disperse	collect	2	0	0	0	2	0	0	0	1	0
renounce	insult	1	1	0	0	2	5	2	3	5	0
leap	fall	1	0	0	0	3	3	2	0	1	0
beat	whip	6	4	4	4	2	4	3	0	5	3
guess	jump	0	2	0	0	0	1	1	0	1	0
dance	entertain	5	1	1	0	1	3	2	2	3	0
receive	earn	5	5	5	2	2	4	4	5	5	2
haul	pull	5	6	6	4	3	6	6	3	6	4
wiggle	jerk	4	3	4	2	0	3	1	3	4	0
respond	speak	5	5	4	4	4	5	4	4	5	4
shove	kick	4	0	1	0	1	4	3	0	3	0
catch	frustrate	1	2	0	0	0	0	1	0	1	0
glide	flow	5	4	3	2	0	5	2	2	2	0
deny	accuse	3	0	1	0	0	2	2	0	2	0
attack	tackle	4	1	3	4	2	4	3	2	4	4
reject	leave	5	4	5	4	2	4	3	1	5	3
refuse	forbid	5	2	6	0	1	4	4	0	5	0
doubt	know	1	0	0	0	0	2	2	0	1	0
lean	fall	3	2	0	0	0	3	3	0	2	0
interrupt	break	1	4	2	3	0	5	4	3	4	2
forbid	permit	2	0	0	0	0	0	0	0	2	0
portray	pretend	4	6	0	5	4	5	4	0	5	3
exploit	use	4	4	6	3	4	4	5	2	6	5
respect	acknowledge	5	5	4	1	0	5	4	3	3	0
frame	freeze	4	0	0	0	0	3	1	0	2	0
deliver	save	1	0	1	0	0	2	0	0	2	0
shake	wiggle	6	4	6	1	0	5	4	3	4	5
blur	smear	6	6	6	5	0	6	5	1	5	5
beg	need	5	4	1	0	0	4	5	0	3	0
tell	lie	3	3	0	1	0	3	1	0	2	0
talk	sing	4	4	0	0	0	3	3	0	4	0
finish	diminish	2	0	3	0	0	2	0	4	3	5
know	meet	4	2	0	0	0	4	4	0	3	0
leave	help	1	0	0	0	0	2	0	0	2	0
discover	learn	4	5	4	4	3	6	6	2	3	4
mend	heal	5	5	2	4	3	6	5	3	4	4
have	receive	3	2	2	2	0	4	0	1	0	4
irritate	frustrate	3	6	4	3	6	5	6	3	6	5
hide	appear	0	0	0	0	1	2	0	0	0	0
spray	attempt	1	0	1	0	0	0	0	0	2	0
cheat	lose	1	1	2	0	0	2	1	0	0	0
stay	flee	1	1	1	0	0	4	0	0	0	0
give	bring	1	0	3	0	5	4	5	3	5	4
unite	combine	5	5	5	3	4	6	6	6	5	5
chew	bite	2	5	2	2	5	6	5	4	5	6
flow	go	1	5	3	2	3	6	3	2	3	4
ascend	fall	1	1	0	0	0	2	0	0	0	0
scare	surprise	1	4	2	1	5	3	5	3	4	4
