COUNTER               VBLEMMA               VBCLASS               BNCFREQ               BNCRNKW               BNCRNKV               SIMRNKV               BNCQRTV
1                     abduct                10                    181                   19392                 2541                  757                   Q2                    
2                     abstain               69                    219                   17263                 2334                  742                   Q2                    
3                     abuse                 33                    907                   6925                  1084                  534                   Q1                    
4                     accelerate            45                    994                   6464                  1025                  513                   Q1                    
5                     accept                77;13;29              18481                 538                   112                   88                    Q1                    
6                     accomplish            55                    891                   6994                  1098                  538                   Q1                    
7                     accumulate            47;13                 946                   6705                  1051                  523                   Q1                    
8                     accuse                81                    3901                  2417                  437                   278                   Q1                    
9                     ache                  32;31;40              553                   9577                  1412                  617                   Q1                    
10                    achieve               55                    15670                 650                   136                   105                   Q1                    
11                    acknowledge           37;29                 3869                  2432                  440                   281                   Q1                    
12                    acquire               13                    5953                  1667                  309                   216                   Q1                    
13                    acquit                80                    309                   13872                 1956                  702                   Q2                    
14                    add                   108;37;22             25344                 365                   79                    60                    Q1                    
15                    address               25                    4907                  1992                  366                   248                   Q1                    
16                    adjourn               N/A                   613                   8974                  1349                  605                   Q1                    
17                    admire                31                    2008                  3927                  678                   395                   Q1                    
18                    admit                 37;65;29              10060                 1025                  207                   149                   Q1                    
19                    adopt                 93;29                 8091                  1286                  252                   179                   Q1                    
20                    adore                 31                    491                   10333                 1516                  643                   Q1                    
21                    adorn                 9;25                  423                   11301                 1658                  662                   Q1                    
22                    advance               102;13;45;51          2390                  3460                  602                   365                   Q1                    
23                    advise                37;58                 4486                  2147                  395                   258                   Q1                    
24                    affect                31                    11638                 888                   180                   134                   Q1                    
25                    aggravate             31                    375                   12227                 1765                  673                   Q1                    
26                    agree                 36                    20853                 461                   100                   77                    Q1                    
27                    aid                   72                    1735                  4347                  735                   420                   Q1                    
28                    aim                   62                    6956                  1458                  275                   190                   Q1                    
29                    allow                 60;64;65;29           31360                 276                   59                    44                    Q1                    
30                    alter                 26;45                 3603                  2569                  466                   295                   Q1                    
31                    amaze                 31                    515                   10044                 1471                  634                   Q1                    
32                    amuse                 31                    930                   6796                  1067                  529                   Q1                    
33                    analyze               34                    205                   17919                 2404                  748                   Q2                    
34                    angle                 47                    175                   19806                 2566                  760                   Q2                    
35                    annihilate            44;42                 133                   23376                 2894                  783                   Q2                    
36                    announce              37;48                 12245                 851                   170                   130                   Q1                    
37                    annoy                 31;59                 812                   7435                  1159                  560                   Q1                    
38                    appear                109;48                29764                 298                   63                    48                    Q1                    
39                    apply                 9;105                 17599                 565                   118                   93                    Q1                    
40                    approach              98;51                 5854                  1686                  313                   217                   Q1                    
